Drug,Microbe,Label,Drug_ID,Microbe_ID
2-Methoxy-4-propylphenol,Streptococcus sobrinus,0,221,164
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2yl)-5-(4-nitrophenyl)-1,3,4-oxadiazole",Enterobacter aerogenes,0,200,61
2-Hydroxychalcone,Haemophilus influenzae,1,220,78
2-Carbamoylphenylalanine,Eubacterium ramulus,0,215,72
1-methyl-4-({[(4-methylphenyl)methyl]disulfanyl}methyl)benzene,Firmicutes,0,138,73
Glycomonoterpenes (G-citral),Streptococcus sobrinus,0,785,164
Citral,Cronobacter sakazakii,1,593,51
Telithromycin,Enteric bacteria and other eubacteria,1,1254,59
2-amino-imidazole/ triazole conjugate,Enterococcus gallinarum,0,235,68
Syringic acid,Bacteroides,0,1238,22
Thiophenone TF101,Escherichia coli,1,1268,69
L-Phenylalanine-L-Lysine,Streptococcus epidermidis,0,871,152
trans-2-dodecenoic acid,Candida albicans,1,1391,34
Pefloxacin,Obesumbacterium proteus,0,1070,115
meta-toluidine,Pseudomonas aeruginosa,1,1372,125
Tigecycline,Burkholderia cepacia,0,1272,29
2-geranyloxy-1-(2-methylpropanoyl)phloroglucinol,Listeria monocytogenes,0,240,104
"Triethyl[3-({33-[2-(triethylazaniumyl)ethoxy]-10,15,20,25,27,29,31,34-octakis[3-(triethylazaniumyl)propoxy]hexacyclo[21.2.2.2.2.2.2]pentatriaconta-1(25),3,5,8,10,13,15,18,20,23,26,28,30,32,34-pentadecaen-4-yl}oxy)propyl]azanium decabromide",Serratia marcescens,0,1287,136
16P-AC,Proteus vulgaris,0,165,122
Baicalin,Pseudomonas aeruginosa,1,469,125
5-(dibromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,Hepatitis B virus D,0,369,83
Toremifene,Candida glabrata,1,1282,36
"3,3-Diphenyl-D-alanine",Staphylococcus epidermis,1,246,147
Tigecycline,Human herpesvirus 1 ,0,1272,87
5-(dibromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,Trichophyton mentagrophytes,0,369,170
Epigallocatechin Gallate,Serratia marcescens,1,710,136
Doxycycline,Enteric bacteria and other eubacteria,1,693,59
"(10R,11R)-Hydnocarpin",Thermus thermophilus ,0,1,169
Acetohydroxamic Acid,Enterobacter aerogenes,1,418,61
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",Staphylococcus aureus,1,37,141
4-fluoroindole,Bacillus subtilis,0,354,21
Titanium dioxide,Aquifex aeolicus,0,1278,13
Thonzonium bromide,Kocuria rhizophila,0,1269,101
D-Tryptophan,Streptococcus pyogenes,0,641,160
Chrysophsin-1,Halomonas pacifica,0,582,81
Sulfadiazine ,Sphingomonas sp. Ibu-2,0,1225,139
Oxytetracycline,Dihydropteroate synthase type-1,0,1056,55
