drug_id,drug_name,microbe_id,microbe_name,label,strain_count,pubmed_count
0,"(1-(4-chlorophenoxy)-3-[(4, 6-dimethyl-2-pyrimidinyl) thio]-2- propanol)",171,Vibrio harveyi,1,1,1
1,"(10R,11R)-Hydnocarpin",137,Staphylococcus aureus,1,1,1
2,"(10R,11R)-Hydnocarpin D",137,Staphylococcus aureus,1,1,1
3,"(10S,11S)-Hydnocarpin D",137,Staphylococcus aureus,1,1,1
4,(1E)-1-{[(1E)-prop-1-ene-1-sulfinyl]sulfanyl}prop-1-ene,151,Streptococcus mutans,1,1,1
5,"(1R,2S,7R,3E,11E)-2,18-diacetoxycembra-3,8(19),11,15(17)-tetraen-7-ol",121,Pseudomonas aeruginosa,1,1,1
5,"(1R,2S,7R,3E,11E)-2,18-diacetoxycembra-3,8(19),11,15(17)-tetraen-7-ol",171,Vibrio harveyi,1,1,1
6,"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol",121,Pseudomonas aeruginosa,1,1,1
6,"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol",137,Staphylococcus aureus,1,1,1
6,"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol",171,Vibrio harveyi,1,1,1
7,"(1R,2S,7R,8R)-2,18-diacetoxyasperdiol",121,Pseudomonas aeruginosa,1,1,1
7,"(1R,2S,7R,8R)-2,18-diacetoxyasperdiol",171,Vibrio harveyi,1,1,1
8,"(1R,3S,7R,8S,11S,12R)-3-hydroxy-1,4,8-trimethyl-12-(propan-2-yl)tricyclo[9.3.0.0]tetradec-4-en-6-one",121,Pseudomonas aeruginosa,1,1,1
9,"(1R,4R,8S,11S,12R)-4-hydroxy-1,4,8-trimethyl-12-(propan-2-yl)tricyclo[9.3.0.0]tetradec-3(7)-en-6-one",121,Pseudomonas aeruginosa,1,1,1
10,(1Z)-(2-phenylethylidene)-lambda4-sulfanyliumolate,7,Actinomyces oris,1,1,1
10,(1Z)-(2-phenylethylidene)-lambda4-sulfanyliumolate,159,Streptococcus sanguis,1,1,1
11,(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate,7,Actinomyces oris,1,1,1
11,(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate,151,Streptococcus mutans,1,1,1
11,(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate,159,Streptococcus sanguis,1,1,1
12,(1Z)-ethylidene-lambda4-sulfanyliumolate,151,Streptococcus mutans,1,1,1
12,(1Z)-ethylidene-lambda4-sulfanyliumolate,159,Streptococcus sanguis,1,1,1
13,"(2-(4-chlorophenyl)- 4-{[(6-methyl-2-pyridinyl)amino]methylene}-1,3-oxazol- 5(4H)-one)",151,Streptococcus mutans,1,1,1
14,(2-methyl-5-nitro-1H-imidazol-1-yl)methyl (2E)-3-phenylprop-2-enoate,34,Candida albicans,1,1,1
15,(2-{[(2-phenylethyl)sulfanyl]sulfinyl}ethyl)benzene,7,Actinomyces oris,1,1,1
15,(2-{[(2-phenylethyl)sulfanyl]sulfinyl}ethyl)benzene,151,Streptococcus mutans,1,1,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
17,"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
17,"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
17,"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
17,"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
17,"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
18,"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one",64,Enterococcus faecalis,1,1,1
18,"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
18,"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one",137,Staphylococcus aureus,1,1,1
18,"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
18,"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one",151,Streptococcus mutans,1,1,1
19,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
19,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
19,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
19,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
19,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
20,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
20,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
20,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
20,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
20,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
22,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
22,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
22,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
22,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
22,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",64,Enterococcus faecalis,1,1,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",137,Staphylococcus aureus,1,1,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",151,Streptococcus mutans,1,1,1
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
