drug_id,drug_name,microbe_id,microbe_name,label
544,Cefditoren,47,Clostridium perfringens,1
335,4-Methoxycarbonylphenylboronic acid,169,Vibrio campbellii,1
63,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(3-oxooctanamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",43,Citrobacter freundii,0
1264,Titanium dioxide,67,Escherichia coli,1
956,N -[(3-chloro-isoquinolin-4-yl)methylene] benzohydrazide,51,Cryptococcus neoformans,0
479,Benzoylperoxide,116,Propionibacterium acnes,1
495,Bromophenyl AHL,121,Pseudomonas aeruginosa,1
149,12-hydroxy decyl beta-maltose,121,Pseudomonas aeruginosa,1
809,IG-13,96,Klebsiella variicola,0
244,2-phenylethane-1-SO-thioperoxol,7,Actinomyces oris,1
35,(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one,75,Haemophilus influenzae,1
606,Colistin,172,Vibrio parahaemolyticus,0
1101,Polysorbate 80,137,Staphylococcus aureus,0
1306,Wheat bran,144,Staphylococcus equorum,0
1169,SQ109,109,Mycobacterium tuberculosis,1
679,Diphenyl disulphide,46,Clostridium pasteurianum,0
142,"1-{2-[(E)-2-[3,5-bis(trifluoromethyl)phenyl]ethenyl]-4-phenylquinolin-3-yl}ethan-1-one",35,Candida dubliniensis,0
764,Gallic Acid,40,Candida spp.,0
209,2-(5-Bromo-2-(2-chloroacetamido)phenyl )-2-oxo-N-( prop-2-yn-1-yl)acetamide,123,Pseudomonas fluorescens,0
336,4-Methoxychalcone,75,Haemophilus influenzae,1
742,Fosaphenytoin,94,Klebsiella planticola,0
1042,Oregano oil,168,Vibrio anguillarum,0
614,Crocin,121,Pseudomonas aeruginosa,1
1148,Rimantadine,30,Burkholderia multivorans,0
1248,Tet-213,137,Staphylococcus aureus,1
502,Butyl gallate,82,Hepatitis C Virus,0
1275,Trimethyl(3-{4-[3-(trimethylazaniumyl)propoxy]phenoxy}propyl)azanium dibromide,81,Hepatitis B virus F,0
1045,Oxantel,155,Streptococcus pneumoniae serotype 4,0
264,3-(2-Naphthyl)-D-alanine,137,Staphylococcus aureus,1
259,"3,5-dibromotyrosined",118,Proteus vulgaris,0
344,4-bromo-5-(bromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,110,Neisseria gonorrhoeae,0
424,Albendazole,64,Enterococcus faecalis,0
159,"13-{8-methoxy-[1,2,3,4]tetrazolo[1,5-a]quinolin-4-yl}-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",34,Candida albicans,1
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1
861,L-Canavanine,28,Burkholderia cenocepacia,1
832,Isoconazole,86,Human herpesvirus 4,0
555,Cefoxitin,154,Streptococcus pneumoniae,1
1208,Streptorubin B,163,Streptomyces sp.,0
400,7-bromoindole,121,Pseudomonas aeruginosa,1
612,Coumarin,55,Edwardsiella tarda,1
1333,beta-Pinene,119,Providencia stuartii,0
51,"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid",137,Staphylococcus aureus,1
801,Holothuroidin 2,137,Staphylococcus aureus,1
