Drug,Microbe,Label,Drug_ID,Microbe_ID
Aztreonam,Citrobacter freundii,1,458,43
Carbonyl cyanide m-chlorophenylhydrazone,Staphylococcus aureus,1,524,141
OHC8HL,Arthrobacter sp. ,0,1039,14
"(1R,3S,7R,8S,11S,12R)-3-hydroxy-1,4,8-trimethyl-12-(propan-2-yl)tricyclo[9.3.0.0]tetradec-4-en-6-one",Streptococcus pyogenes,0,8,160
"1-[2-(naphthalen-1-yl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",Pseudomonas aeruginosa,1,135,125
"2-(4-methoxyphenyl)-N-(3-{[2-(4-methoxyphenyl)ethyl]imino}-1,4-dihydro-2-quinox alinylidene)ethanamine",Acinetobacter oleiovorans,0,207,4
Indole,Staphylococcus capitis,0,827,142
Ticarcillin,Marinobacter hydrocarbonoclasticus,0,1271,107
Dicinnamyl,Stenotrophomonas maltophilia,0,674,151
Erythritol,Streptococcus mutans,1,712,155
Guaiacol,Escherichia coli,1,789,69
Isothiocyanate,Pseudomonas aeruginosa,1,847,125
hLF1-11,Candida albicans,1,1367,34
Cefaclor,Clostridium perfringens ,1,537,48
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(methylthio)-1,3,4-oxadiazole",Streptococcus epidermidis,1,195,152
(3R)-4-(4-acetylphenyl)-3-aminobutan-2-one,Enterococcus faecalis,0,69,66
Norfloxacin,Stenotrophomonas maltophilia,1,1028,151
Ethambutol,Mycobacterium tuberculosis,1,719,113
Norfloxacin,Firmicutes,0,1028,73
Phenanthrene,Proteus vulgaris,1,1088,122
Clove oil,Pseudomonas aeruginosa,1,605,125
Fluconazole,Candida albicans,1,743,34
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",Serratia marcescens,0,26,136
S-OSIP108,Pseudomonas libaniensis,0,1168,129
Ceftazidime,Providencia stuartii,1,560,123
Cefotetan,Desulfovibrio africanus,0,554,54
1-{6-nitro-4-phenyl-2-[(E)-2-[4-(trifluoromethoxy)phenyl]ethenyl]quinolin-3-yl}ethan-1-one,Bacillus subtilis,1,145,21
Penicillenol C2,Haemophilus influenzae,0,1079,78
Zinc Nitrate,Bacteroides uniformis,0,1330,25
Avermectin B1a,Dengue Virus Type 2,0,453,53
D/L-Aspartate,Streptococcus salivarius,0,646,161
4-chloroaniline,Pseudomonas aeruginosa,1,351,125
Cefaclor,Listeria monocytogenes,1,537,104
2-bromohexanoic acid,Actinomyces oris,0,238,7
"N1-(7-chloroquinolin-4-yl)octane-1,8-diamine",Achromobacter sp.,0,993,0
(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid,Streptococcus mutans,1,45,155
Methylthiopropylamine,Burkholderia pseudomallei,1,935,31
Cefprozil,Bacteroides fragilis,0,559,24
Prolificin A,Staphylococcus epidermidis,1,1115,146
Cephalexin,Streptococcus pneumoniae,1,566,158
"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol",Enteric bacteria and other eubacteria,0,6,59
Furanone C-30,Pseudomonas aeruginosa,1,753,125
N-Acetylcysteine,Mycobacterium smegmatis,1,984,112
"N-((1E)-{4-ethoxy-3-[(8-oxo-1,5,6,8-tetrahydro-2H-1,5-methanopyrido[1,2-a][1,5]diazocin-3(4H)-yl)methyl]phenyl}methylene)-3,4,5-trihydroxybenzohydrazide",Candida parapsilosis,0,965,39
Cefoperazone,Enteric bacteria and other eubacteria ,0,551,60
Rosoxacin,Escherichia coli,1,1160,69
