Drug,Microbe,Label,Drug_ID,Microbe_ID
Rifampicin,Escherichia coli,1,1154,69
Curcumin,Pseudomonas japonica,1,619,128
Fluconazole,Candida albicans,1,743,34
N-(4-Bromobenzylidene)benzohydrazide,Aspergillus fumigatus,0,976,15
Cerulenin,Escherichia coli,1,568,69
Ertapenem,Haemophilus influenzae,1,711,78
Cefacetrile,Escherichia coli,1,536,69
Citral,Cronobacter sakazakii,1,593,51
3-oxo-C8-HSL,Staphylococcus aureus,0,303,141
Neohesperidin,Vibrio harveyi,1,1013,176
Furanone,Staphylococcus cohnii,0,751,145
(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one,Haemophilus influenzae,1,35,78
(Z)-4-bromo-5-(bromomethylene)-3-methylfuran-2(5H)-one,Vibrio harveyi,0,107,176
6-Gingerol,Pseudomonas aeruginosa,1,393,125
Josamycin,Staphylococcus epidermis,0,850,147
IDR-1018,Escherichia coli,1,814,69
Sodium Chloride,Pseudomonas chlororaphis,0,1207,126
Azithromycin,Burkholderia cenocepacia,1,456,28
Tazobactam,Aspergillus fumigatus,0,1247,15
N-Acetylcysteine,Coagulase- negative staphylococci,1,984,49
2-(2-(2-Chloroacetamido)-5-methylphenyl)-2-oxo-N-( prop-2-yn- 1-yl)acetamide,Pseudomonas aeruginosa,1,187,125
"2-(5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole-2-yl)phenol",Streptococcus epidermidis,1,208,152
Chrysin,Escherichia coli,1,580,69
"1,1,6,6,7,7-hexahydroxy-5,5-diisopropyl-3,3-dimethyl-2,2-binaphthalene-8,8-dicarbaldehyde",Francisella novicida,0,113,74
Phloridzin,Achromobacter sp.,0,1095,0
Glipizide,Campylobacter jejuni,0,782,33
2- geranyloxy-1-(2-methylbutanoyl)phloroglucinol,Aeromonas hydrophila,0,178,9
Trovafloxacin,Haemophilus influenzae,1,1294,78
1-(4-chlorophenyl)-3-m-tolyurea,Pseudomonas libaniensis,0,124,129
Zinc Nitrate,Staphylococcus equorum,0,1330,148
Moxifloxacin,Haemophilus influenzae,1,945,78
Olmesartran,Aeromonas sobria,0,1048,10
Oxyresveratrol,Human respiratory syncytial virus B,0,1055,94
Octadecyl gallate,Streptococcus pneumoniae serotype 4,0,1041,159
Pine needle oil,Staphylococcus aureus,1,1100,141
Enoxacin,Haemophilus influenzae,1,704,78
Norbgugaine 12,Pseudomonas aeruginosa,1,1027,125
"3,5-Diiodotyrosine",Citrobacter freundii,0,257,43
"Dihydroxybenzoic Acid (2,3-DHBA)",Yersinia enterocolitica,0,679,179
